City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
67,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
68,Hambantota,LK,78.57,overcast clouds,6.1241,81.1185,Bungalow 63
70,Palu,ID,74.77,clear sky,-0.8917,119.8707,Hotel Santika Palu
71,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
73,Boyolangu,ID,72.88,overcast clouds,-8.1181,111.8935,Yos ega cv
74,Doka,SD,68.88,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
77,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
78,Trincomalee,LK,79.77,scattered clouds,8.5711,81.2335,Welcombe Hotel
80,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
81,Senador Pompeu,BR,87.15,broken clouds,-5.5881,-39.3717,Pousada Ki-Delicia
82,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Sao Filipe,CV,76.53,broken clouds,14.8961,-24.4956,Hotel Xaguate
87,Hithadhoo,MV,80.64,overcast clouds,-0.6,73.0833,Scoop Guest House
88,Kaduna,NG,71.37,moderate rain,10.5222,7.4383,HAMDALA HOTEL
92,Pelotas,BR,71.62,clear sky,-31.7719,-52.3425,Hotéis Jacques Georges Tower
93,Sombrio,BR,66.18,clear sky,-29.1139,-49.6167,Hotel e Restaurante Sao Cristovao
95,Joniskis,LT,65.32,few clouds,56.2403,23.6153,Audruvis
98,Khao Yoi,TH,75.9,moderate rain,13.2403,99.8243,เปิ้ล ทำเบาะ
104,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
105,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
106,Zhezkazgan,KZ,83.95,overcast clouds,47.8043,67.7144,Hotel Zumrat
108,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
109,Rafaela,AR,72.0,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
111,Vao,NC,73.89,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
112,Sola,VU,80.71,broken clouds,-13.8833,167.55,Leumerus Bungalows
113,Ust-Donetskiy,RU,67.84,clear sky,47.6419,40.8718,Levada
114,Margherita,IN,75.25,overcast clouds,27.2833,95.6833,Dehing Guest House
115,Damghan,IR,80.06,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
117,Lagoa,PT,72.45,clear sky,39.05,-27.9833,Casa Das Faias
122,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
123,Mamallapuram,IN,84.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
124,Buarcos,PT,70.14,clear sky,40.166,-8.8768,Hotel Sweet Atlantic SPA
125,Castro,BR,67.8,clear sky,-24.7911,-50.0119,CHACARA BAILLY
126,Bengkulu,ID,76.05,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Mutsu,JP,68.0,overcast clouds,41.2894,141.2169,Mutsu Park Hotel
