City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,San Francisco Del Mar,MX,16.2333,-94.65,90.3,59,47,14.81,scattered clouds
244,Chinsali,ZM,-10.5414,32.0816,61.7,63,35,8.86,scattered clouds
245,Meulaboh,ID,4.1363,96.1285,75.67,86,99,3.69,overcast clouds
246,Ilulissat,GL,69.2167,-51.1,48.67,60,100,4.99,overcast clouds
247,Dunedin,NZ,-45.8742,170.5036,42.8,81,100,11.99,overcast clouds
248,Sumbe,AO,-11.2061,13.8437,67.8,90,44,6.06,scattered clouds
249,Alta Floresta,BR,-9.8756,-56.0861,96.62,23,0,6.91,clear sky
250,Yuli,NG,9.6989,10.2744,71.28,95,100,2.57,overcast clouds
251,Soke,ML,13.598,-5.9386,77.92,80,100,4.36,overcast clouds
252,Maun,BW,-19.9833,23.4167,69.76,43,0,5.75,clear sky
253,Sibolga,ID,1.7427,98.7792,75.49,88,65,3.76,broken clouds
254,Paranapanema,BR,-23.3886,-48.7228,74.53,55,0,9.55,clear sky
255,Henties Bay,NA,-22.116,14.2845,55.36,84,0,5.88,clear sky
256,Sosnovo-Ozerskoye,RU,52.5249,111.5418,48.92,95,1,6.62,clear sky
257,Sabang,ID,5.8933,95.3214,82.74,76,100,24.0,overcast clouds
258,The Valley,AI,18.217,-63.0578,86.83,70,40,17.27,scattered clouds
259,Norman Wells,CA,65.282,-126.8329,71.64,37,75,2.3,broken clouds
260,Bajil,YE,15.0584,43.2851,85.98,54,100,2.3,overcast clouds
261,Honiara,SB,-9.4333,159.95,76.19,86,33,5.14,scattered clouds
262,Tazmalt,DZ,36.3868,4.3989,83.3,37,0,5.93,clear sky
263,Norsup,VU,-16.0667,167.3833,79.7,83,49,13.98,scattered clouds
264,Katsuura,JP,35.1333,140.3,76.8,83,80,7.81,broken clouds
265,Provideniya,RU,64.3833,-173.3,44.19,70,99,17.56,overcast clouds
266,Boende,CD,-0.2167,20.8667,75.18,81,45,0.92,light rain
267,Lagoa Vermelha,BR,-28.2086,-51.5258,65.89,87,0,5.39,clear sky
268,Dhidhdhoo,MV,6.8833,73.1,80.98,76,100,18.34,overcast clouds
269,Auki,SB,-8.7676,160.7034,75.9,88,100,4.05,overcast clouds
270,Kloulklubed,PW,7.0419,134.2556,82.08,74,56,1.5,broken clouds
271,Westport,US,41.1415,-73.3579,99.45,53,22,7.0,few clouds
272,Cody,US,44.5263,-109.0565,89.91,16,0,3.0,clear sky
273,Aykhal,RU,66.0,111.5,52.59,62,100,4.63,overcast clouds
274,Zyryanka,RU,65.75,150.85,45.99,69,100,8.9,overcast clouds
275,Oranjemund,NA,-28.55,16.4333,53.76,79,48,18.41,scattered clouds
276,Asfi,MA,32.2994,-9.2372,79.38,55,100,18.79,overcast clouds
277,Nauta,PE,-4.5061,-73.5757,76.28,93,99,4.27,overcast clouds
278,Tura,IN,25.5198,90.2201,74.73,97,100,5.48,light rain
279,Menongue,AO,-14.6585,17.691,54.54,41,11,4.7,few clouds
280,Big Spring,US,32.2504,-101.4787,99.23,22,0,8.05,clear sky
281,Hokitika,NZ,-42.7167,170.9667,44.89,76,100,4.41,overcast clouds
282,Teguise,ES,29.0605,-13.564,73.62,73,0,18.41,clear sky
283,Huarmey,PE,-10.0681,-78.1522,67.68,69,1,10.54,clear sky
284,Misratah,LY,32.3754,15.0925,81.05,62,0,12.17,clear sky
285,Cabo San Lucas,MX,22.8909,-109.9124,96.62,62,79,9.1,broken clouds
286,Mana,GF,5.6592,-53.7767,81.88,73,7,9.44,clear sky
287,Ozernovskiy,RU,51.5,156.5167,58.19,87,3,5.99,clear sky
288,Inuvik,CA,68.3499,-133.7218,65.16,53,75,5.75,broken clouds
289,Oltu,TR,40.5498,42.0013,59.97,94,41,3.51,scattered clouds
290,Magole,TZ,-6.3667,37.3667,65.7,86,44,4.34,scattered clouds
291,Gat,IL,31.61,34.7642,80.82,100,0,5.5,clear sky
292,Anchorage,US,61.2181,-149.9003,57.65,89,95,8.01,overcast clouds
293,Codrington,AU,-38.2667,141.9667,37.89,85,0,8.81,clear sky
294,Gold Coast,AU,-28.0,153.4333,60.01,87,100,16.11,overcast clouds
295,Broska,UA,45.3733,28.783,75.54,49,91,6.98,overcast clouds
296,Pleshanovo,RU,52.8333,53.4833,63.81,60,69,4.74,broken clouds
297,Balkhash,KZ,46.844,74.9804,75.67,43,0,11.01,clear sky
298,Minot,US,48.2325,-101.2963,79.81,41,0,18.45,clear sky
299,Touros,BR,-5.1989,-35.4608,77.16,78,98,13.73,overcast clouds
300,Tucupita,VE,9.0622,-62.051,81.12,89,100,3.49,overcast clouds
301,Daryapur,IN,20.9333,77.3333,77.58,89,100,11.65,overcast clouds
302,Beipiao,CN,41.7919,120.7792,68.5,88,100,0.07,overcast clouds
303,Bemidji,US,47.4736,-94.8803,83.05,51,0,14.97,clear sky
304,Stornoway,GB,58.2093,-6.3865,57.92,89,100,5.75,overcast clouds
305,Jalu,LY,29.0331,21.5482,81.7,43,0,16.46,clear sky
306,Northam,GB,51.0333,-4.2167,63.39,77,17,15.01,few clouds
307,Beverungen,DE,51.6667,9.3667,87.42,51,84,7.16,broken clouds
308,Coquimbo,CL,-29.9533,-71.3436,53.33,93,100,3.44,overcast clouds
309,Minggang,CN,32.4586,114.0486,70.0,93,63,3.49,broken clouds
310,Mbuji-Mayi,CD,-6.15,23.6,81.81,34,68,3.13,broken clouds
311,Soe,ID,-9.8607,124.284,63.99,94,99,4.27,overcast clouds
312,Atambua,ID,-9.1061,124.8925,69.96,90,100,4.97,overcast clouds
313,Diego De Almagro,CL,-26.3667,-70.05,70.11,27,100,9.42,moderate rain
314,Muli,MV,2.9167,73.5667,79.34,76,100,18.05,overcast clouds
315,Tessalit,ML,20.1986,1.0114,75.18,72,98,14.88,moderate rain
316,Kamaishi,JP,39.2667,141.8833,68.77,94,65,3.83,broken clouds
317,Saint George,US,37.1041,-113.5841,108.79,16,0,8.99,clear sky
318,Torrington,US,41.8007,-73.1212,96.69,44,2,5.64,clear sky
319,Thinadhoo,MV,0.5333,72.9333,81.09,74,100,10.2,overcast clouds
320,Palana,RU,59.1167,159.9667,52.66,84,79,9.33,broken clouds
321,Cockburn Town,TC,21.4612,-71.1419,82.29,76,0,19.75,clear sky
322,Ilhabela,BR,-23.7781,-45.3581,69.33,90,56,2.68,light rain
323,Port Blair,IN,11.6667,92.75,78.6,82,100,5.39,heavy intensity rain
324,Luanda,AO,-8.8368,13.2343,68.36,88,7,13.91,clear sky
325,Coihaique,CL,-45.5752,-72.0662,33.44,89,27,8.16,scattered clouds
326,Tautira,PF,-17.7333,-149.15,76.05,74,0,10.65,light rain
327,Santarem,BR,-2.4431,-54.7083,86.47,60,88,3.98,overcast clouds
328,Tierralta,CO,8.1736,-76.0592,85.86,76,98,3.51,overcast clouds
